Название,Цена,URL
1С: Программирование для начинающих. М. Радченко,1113.0,https://www.wildberries.ru/catalog/120775986/detail.aspx
Программирование на C++ в примерах и задачах,563.0,https://www.wildberries.ru/catalog/3510497/detail.aspx
Программирование на Python в примерах и задачах,883.0,https://www.wildberries.ru/catalog/18633098/detail.aspx
Программирование на Python с нуля,730.0,https://www.wildberries.ru/catalog/136600401/detail.aspx
Программирование на Java для начинающих,923.0,https://www.wildberries.ru/catalog/4050735/detail.aspx
Программирование на Scratch для детей. Уровень 1,654.0,https://www.wildberries.ru/catalog/187371076/detail.aspx
Программирование на Python. Первые шаги,788.0,https://www.wildberries.ru/catalog/58141377/detail.aspx
Python для детей. Курс для начинающих,483.0,https://www.wildberries.ru/catalog/58111801/detail.aspx
Программирование на Python для начинающих,488.0,https://www.wildberries.ru/catalog/2451259/detail.aspx
Python. Великое программирование в Minecraft,612.0,https://www.wildberries.ru/catalog/25541718/detail.aspx
Python. Основы программирования,767.0,https://www.wildberries.ru/catalog/248270649/detail.aspx
C#. Основы программирования,729.0,https://www.wildberries.ru/catalog/231517603/detail.aspx
JavaScript в примерах и задачах,849.0,https://www.wildberries.ru/catalog/4431354/detail.aspx
"Книга: Постолит А.В. ""Основы искусственного интеллекта в при",1281.0,https://www.wildberries.ru/catalog/180317117/detail.aspx
Программирование для детей. Научиться с 6 лет может каждый!,439.0,https://www.wildberries.ru/catalog/228404629/detail.aspx
Машинное обучение для детей (Искусственный интеллект),1082.0,https://www.wildberries.ru/catalog/158671580/detail.aspx
Программирование на АРДУИНО. От простого к сложному.,779.0,https://www.wildberries.ru/catalog/25698720/detail.aspx
"Изучаем Python: программирование игр, визуализация данных",807.0,https://www.wildberries.ru/catalog/10749295/detail.aspx
Python. Погружение в математику с Minecraft,543.0,https://www.wildberries.ru/catalog/144621178/detail.aspx
Взломать всё,469.0,https://www.wildberries.ru/catalog/167712259/detail.aspx
Чистый Python. Тонкости программирования для профи,786.0,https://www.wildberries.ru/catalog/6220534/detail.aspx
"Roblox: играй, программируй и создавай свои миры. 2-е изд.",1066.0,https://www.wildberries.ru/catalog/189800289/detail.aspx
Высоконагруженные приложения. Программирование,1709.0,https://www.wildberries.ru/catalog/194119782/detail.aspx
Справочник. Информатика,355.0,https://www.wildberries.ru/catalog/30902261/detail.aspx
Scratch. Программировать сможет каждый,1104.0,https://www.wildberries.ru/catalog/280559941/detail.aspx
Программирование на PHP в примерах и задачах,881.0,https://www.wildberries.ru/catalog/40030776/detail.aspx
Роман с деньгами,604.0,https://www.wildberries.ru/catalog/258643706/detail.aspx
Странные игры. Майк Омер. Книги триллеры,531.0,https://www.wildberries.ru/catalog/230794275/detail.aspx
Black Hat Python: программирование для хакеров и пентестеров,750.0,https://www.wildberries.ru/catalog/48871284/detail.aspx
Программирование для детей развивающая игра,466.0,https://www.wildberries.ru/catalog/192652735/detail.aspx
Изучаем программирование на примере Minecraft,546.0,https://www.wildberries.ru/catalog/18637150/detail.aspx
Python для детей,1015.0,https://www.wildberries.ru/catalog/7076529/detail.aspx
Бойся..но действуй! Как превратить страх из врага в союзника,521.0,https://www.wildberries.ru/catalog/208718674/detail.aspx
Язык программирования C. Лекции и упражн,2235.0,https://www.wildberries.ru/catalog/20849130/detail.aspx
"20 простых проектов на Raspberry Pi. Игрушки, инструменты",574.0,https://www.wildberries.ru/catalog/26006064/detail.aspx
JavaScript для начинающих. 6-е издание,686.0,https://www.wildberries.ru/catalog/132360067/detail.aspx
Самоучитель игры на Паскале. ABC и немного Турбо,529.0,https://www.wildberries.ru/catalog/25995404/detail.aspx
Изучаем C# через разработку игр на Unity. 5-е издание,1019.0,https://www.wildberries.ru/catalog/52813865/detail.aspx
Программирование на языке Lua,1097.0,https://www.wildberries.ru/catalog/223859926/detail.aspx
Занимательная информатика. Учебное пособие,668.0,https://www.wildberries.ru/catalog/39265792/detail.aspx
Миссия: Python. Создаем игры вместе с детьми,343.0,https://www.wildberries.ru/catalog/102586450/detail.aspx
Как добиваться своего с помощью НЛП. 49 простых правил,148.0,https://www.wildberries.ru/catalog/18511312/detail.aspx
Изучаем C++ через программирование игр,818.0,https://www.wildberries.ru/catalog/14899407/detail.aspx
Программирование на Scratch с нуля. Создаем веселые игры,838.0,https://www.wildberries.ru/catalog/161480065/detail.aspx
Азбука программирования игр в UNITY 3D,536.0,https://www.wildberries.ru/catalog/189298179/detail.aspx
Scratch 3. Изучайте язык программирования,881.0,https://www.wildberries.ru/catalog/146669306/detail.aspx
Программирование для детей,898.0,https://www.wildberries.ru/catalog/4851373/detail.aspx
Идеальный программист Как стать профессионалом разработки ПО,469.0,https://www.wildberries.ru/catalog/6411515/detail.aspx
Как управлять собой и другими с помощью НЛП. Книга для,475.0,https://www.wildberries.ru/catalog/2204892/detail.aspx
Паттерны для начинающих программистов с примерами на JAVA,551.0,https://www.wildberries.ru/catalog/230902639/detail.aspx
Программирование для непрограммистов,662.0,https://www.wildberries.ru/catalog/214982447/detail.aspx
Прикладное программирование на C/C++: с нуля,589.0,https://www.wildberries.ru/catalog/50292012/detail.aspx
Linux Kernel Programming. Программирование ядра Linu...,1100.0,https://www.wildberries.ru/catalog/32593645/detail.aspx
"Roblox: играй, программируй и создавай свои миры",1069.0,https://www.wildberries.ru/catalog/23181104/detail.aspx
Профессиональная работа с Git,551.0,https://www.wildberries.ru/catalog/217898311/detail.aspx
Руководство по созданию игровых миров Roblox,1254.0,https://www.wildberries.ru/catalog/100106747/detail.aspx
Golang для профи. 3-е изд.,2554.0,https://www.wildberries.ru/catalog/176348240/detail.aspx
Python на примерах. Практика.,575.0,https://www.wildberries.ru/catalog/154851916/detail.aspx
GPT-3: программирование на PYTHON,1354.0,https://www.wildberries.ru/catalog/278947396/detail.aspx
Создаем динамические веб-сайты,1629.0,https://www.wildberries.ru/catalog/99020240/detail.aspx
Создаем игры с Kodu Game Lab,400.0,https://www.wildberries.ru/catalog/26006056/detail.aspx
Олимпиадное программирование. Второе издание,1340.0,https://www.wildberries.ru/catalog/223860156/detail.aspx
Принципы объектно-ориентированного программирования,551.0,https://www.wildberries.ru/catalog/265573874/detail.aspx
НЛП для чайников,883.0,https://www.wildberries.ru/catalog/31020866/detail.aspx
"Если ты, то я",331.0,https://www.wildberries.ru/catalog/240648811/detail.aspx
"Навыки будущего от 10 лет, 160 заданий",1022.0,https://www.wildberries.ru/catalog/192652725/detail.aspx
"Графики, формулы, анализ данных в Excel. Пошаговые примеры",652.0,https://www.wildberries.ru/catalog/271716805/detail.aspx
книга программирование / Программирование разума. Полное р…,1735.0,https://www.wildberries.ru/catalog/247434021/detail.aspx
Прикладные задачи динамического программирования,874.0,https://www.wildberries.ru/catalog/21875758/detail.aspx
C++ для начинающих. 2-е изд.,1358.0,https://www.wildberries.ru/catalog/189794122/detail.aspx
Алгоритмы в задачах и примерах. Самые эффективные способы и,626.0,https://www.wildberries.ru/catalog/211411488/detail.aspx
JavaScript с нуля,742.0,https://www.wildberries.ru/catalog/29679465/detail.aspx
Программирование на Scratch для детей. Уровень 1,733.0,https://www.wildberries.ru/catalog/184896553/detail.aspx
Python-интенсив: 50 быстрых упражнений,571.0,https://www.wildberries.ru/catalog/208496161/detail.aspx
"НЛП. Игры, в которых побеждают женщины (нов. оф.)",543.0,https://www.wildberries.ru/catalog/6314408/detail.aspx
НЛП Техники россыпью Практическое руководство,893.0,https://www.wildberries.ru/catalog/10939879/detail.aspx
Простой учебник программирования,455.0,https://www.wildberries.ru/catalog/21511737/detail.aspx
Полезное программирование. Уникальное руководство к действию,224.0,https://www.wildberries.ru/catalog/154524935/detail.aspx
ARDUINO: от азов программирования до соз,729.0,https://www.wildberries.ru/catalog/62978070/detail.aspx
Python. Самое полное руководство по разработке в примерах,1253.0,https://www.wildberries.ru/catalog/208269258/detail.aspx
Black Hat Python: программирование для хакеров и пентестеров,1034.0,https://www.wildberries.ru/catalog/262668153/detail.aspx
Объектно-ориентированное программирование в С++,1556.0,https://www.wildberries.ru/catalog/5890118/detail.aspx
C++. Основы программирования,767.0,https://www.wildberries.ru/catalog/270043068/detail.aspx
"Книга: Дональд Кнут ""Искусство программирования. Том 1. Осно",4200.0,https://www.wildberries.ru/catalog/177163515/detail.aspx
Сверхъестественный разум,566.0,https://www.wildberries.ru/catalog/4825579/detail.aspx
Рецепты Python. Коллекция лучших техник программирования,1412.0,https://www.wildberries.ru/catalog/221490620/detail.aspx
НЛП. Полный курс гипноза. Паттерны,349.0,https://www.wildberries.ru/catalog/8468801/detail.aspx
Сверхъестественный разум. Как обычные люди делают,378.0,https://www.wildberries.ru/catalog/170218344/detail.aspx
Изучаем Java,1180.0,https://www.wildberries.ru/catalog/2451185/detail.aspx
Программирование на Java для начинающих,1030.0,https://www.wildberries.ru/catalog/204065242/detail.aspx
Программирование искусственного интеллекта в приложениях,363.0,https://www.wildberries.ru/catalog/21460607/detail.aspx
Объектно Ориентированное Программирование.,805.0,https://www.wildberries.ru/catalog/21510393/detail.aspx
"Привет, Scratch! Моя первая книга по программированию",407.0,https://www.wildberries.ru/catalog/47428639/detail.aspx
Пламя одержимости,388.0,https://www.wildberries.ru/catalog/202864686/detail.aspx
Игровой движок. Программирование и внутреннее устройство,2966.0,https://www.wildberries.ru/catalog/16889092/detail.aspx
Язык программирования Фортран,121.0,https://www.wildberries.ru/catalog/15383487/detail.aspx
Легкий способ выучить Python 3,570.0,https://www.wildberries.ru/catalog/8262402/detail.aspx
"Привет, JavaScript! Моя первая книга по программированию",652.0,https://www.wildberries.ru/catalog/233556193/detail.aspx
